id,slug,name,icon,parent_id,sort_order,is_active,created_at,updated_at
cmkmjx9s7000y4q2ndzlawf29,after-construction,Барилгын дараах цэвэрлэгээ,,cmkmjx1xd000o4q2nq91u8ebx,4,t,2026-01-20 12:09:37.735,2026-01-20 12:09:37.735
cmkmjxcsk00114q2nnj0384zg,interior-design,Дотор засал,,cmkmjxb9w000z4q2niun7wb0t,0,t,2026-01-20 12:09:41.636,2026-01-20 12:09:41.636
cmkmjxea400134q2nx2c0fbl8,painting,"Будаг, ханын цаас",,cmkmjxb9w000z4q2niun7wb0t,1,t,2026-01-20 12:09:43.565,2026-01-20 12:09:43.565
cmkmjxfrk00154q2ne5daa7mi,flooring,Шал дэвсгэр,,cmkmjxb9w000z4q2niun7wb0t,2,t,2026-01-20 12:09:45.489,2026-01-20 12:09:45.489
cmkmjxh8o00174q2njg487oj8,ceiling,Таазны ажил,,cmkmjxb9w000z4q2niun7wb0t,3,t,2026-01-20 12:09:47.401,2026-01-20 12:09:47.401
cmkmjxizk00194q2n3re7ijp8,tiling,"Хавтан, плита",,cmkmjxb9w000z4q2niun7wb0t,4,t,2026-01-20 12:09:49.287,2026-01-20 12:09:49.287
cmkmjxkg7001b4q2nfp14f6kp,welding,Гагнуур,,cmkmjxb9w000z4q2niun7wb0t,5,t,2026-01-20 12:09:51.559,2026-01-20 12:09:51.559
cmkmjxlxo001d4q2n0dee3kis,carpentry,Мужааны ажил,,cmkmjxb9w000z4q2niun7wb0t,6,t,2026-01-20 12:09:53.484,2026-01-20 12:09:53.484
cmkmjxp9e001g4q2ndukez7bi,computer-repair,Компьютер засвар,,cmkmjxnhx001e4q2nnhoaab3z,0,t,2026-01-20 12:09:57.794,2026-01-20 12:09:57.794
cmkmjxqqv001i4q2n0dex4l64,web-development,Веб хөгжүүлэлт,,cmkmjxnhx001e4q2nnhoaab3z,1,t,2026-01-20 12:09:59.72,2026-01-20 12:09:59.72
cmkmjxs8u001k4q2nzt32h5vt,mobile-development,Аппликейшн хөгжүүлэлт,,cmkmjxnhx001e4q2nnhoaab3z,2,t,2026-01-20 12:10:01.662,2026-01-20 12:10:01.662
cmkmjxtqx001m4q2nhaiejj6v,network-setup,Сүлжээ тохиргоо,,cmkmjxnhx001e4q2nnhoaab3z,3,t,2026-01-20 12:10:03.609,2026-01-20 12:10:03.609
cmkmjxvje001o4q2nmqmd3ysg,data-recovery,Өгөгдөл сэргээх,,cmkmjxnhx001e4q2nnhoaab3z,4,t,2026-01-20 12:10:05.552,2026-01-20 12:10:05.552
cmkmjxx03001q4q2n5bccu2g9,it-consulting,IT зөвлөгөө,,cmkmjxnhx001e4q2nnhoaab3z,5,t,2026-01-20 12:10:07.827,2026-01-20 12:10:07.827
cmkmjxzyk001t4q2nj20kacg6,hairdressing,Үс засалт,,cmkmjxygv001r4q2nudhihgs5,0,t,2026-01-20 12:10:11.66,2026-01-20 12:10:11.66
cmkmjy1f7001v4q2ndqras67y,makeup,Нүүр будалт,,cmkmjxygv001r4q2nudhihgs5,1,t,2026-01-20 12:10:13.555,2026-01-20 12:10:13.555
cmkmjy2wl001x4q2nyjy41auu,manicure,"Маникюр, педикюр",,cmkmjxygv001r4q2nudhihgs5,2,t,2026-01-20 12:10:15.477,2026-01-20 12:10:15.477
cmkmjy4da001z4q2neimtv51u,massage,Массаж,,cmkmjxygv001r4q2nudhihgs5,3,t,2026-01-20 12:10:17.375,2026-01-20 12:10:17.375
cmkmjy5u800214q2njuqpk2we,cosmetology,Арьс арчилгаа,,cmkmjxygv001r4q2nudhihgs5,4,t,2026-01-20 12:10:19.28,2026-01-20 12:10:19.28
cmkmjy7mt00234q2n5dpnop88,eyebrow,"Хөмсөг, сормуус",,cmkmjxygv001r4q2nudhihgs5,5,t,2026-01-20 12:10:21.219,2026-01-20 12:10:21.219
cmkmjyao700264q2nk44hwuy0,doctor-home,Гэрээр эмч,,cmkmjy95900244q2n2pmggrrs,0,t,2026-01-20 12:10:25.544,2026-01-20 12:10:25.544
cmkmjyc6000284q2n31eklrv0,nursing,Асаргаа сувилгаа,,cmkmjy95900244q2n2pmggrrs,1,t,2026-01-20 12:10:27.48,2026-01-20 12:10:27.48
cmkmjydnv002a4q2nghqvlur4,physiotherapy,Физик эмчилгээ,,cmkmjy95900244q2n2pmggrrs,2,t,2026-01-20 12:10:29.42,2026-01-20 12:10:29.42
cmkmjxnhx001e4q2nnhoaab3z,it-services,"IT, Компьютер",https://gqzohavylekbxolokzgi.supabase.co/storage/v1/object/public/categories/icons/it-services.png,,4,t,2026-01-20 12:09:55.51,2026-01-21 11:43:19.093
cmkmjxygv001r4q2nudhihgs5,beauty,Гоо сайхан,https://gqzohavylekbxolokzgi.supabase.co/storage/v1/object/public/categories/icons/beauty.png,,5,t,2026-01-20 12:10:09.727,2026-01-21 11:43:49.013
cmkmjy95900244q2n2pmggrrs,health,Эрүүл мэнд,https://gqzohavylekbxolokzgi.supabase.co/storage/v1/object/public/categories/icons/health.png,,6,t,2026-01-20 12:10:23.565,2026-01-21 11:44:19.802
cmkmjyf5m002c4q2nbchjgxlj,psychology,Сэтгэл зүйч,,cmkmjy95900244q2n2pmggrrs,3,t,2026-01-20 12:10:31.354,2026-01-20 12:10:31.354
cmkmjygnk002e4q2nna9f18tt,nutrition,Хоол тэжээл зөвлөгөө,,cmkmjy95900244q2n2pmggrrs,4,t,2026-01-20 12:10:33.296,2026-01-20 12:10:33.296
cmkmjyjyw002h4q2nfivczd38,tutoring,Хичээл заах,,cmkmjyi4y002f4q2nj6l0ti0l,0,t,2026-01-20 12:10:37.198,2026-01-20 12:10:37.198
cmkmjylh8002j4q2no3ojfrwm,language,Хэл сургалт,,cmkmjyi4y002f4q2nj6l0ti0l,1,t,2026-01-20 12:10:39.548,2026-01-20 12:10:39.548
cmkmjymzg002l4q2n7imqgnuo,music-lessons,Хөгжим заах,,cmkmjyi4y002f4q2nj6l0ti0l,2,t,2026-01-20 12:10:41.5,2026-01-20 12:10:41.5
cmkmjyogt002n4q2nknkvf4x7,sports-training,Спорт дасгалжуулалт,,cmkmjyi4y002f4q2nj6l0ti0l,3,t,2026-01-20 12:10:43.421,2026-01-20 12:10:43.421
cmkmjypyp002p4q2nosf5cz7v,driving-lessons,Жолоо сургалт,,cmkmjyi4y002f4q2nj6l0ti0l,4,t,2026-01-20 12:10:45.361,2026-01-20 12:10:45.361
cmkmjyrgw002r4q2n1gv766pi,cooking-classes,Хоол хийх сургалт,,cmkmjyi4y002f4q2nj6l0ti0l,5,t,2026-01-20 12:10:47.312,2026-01-20 12:10:47.312
cmkmjyuin002u4q2nvsh2fq0n,legal-consulting,Хуулийн зөвлөгөө,,cmkmjyszp002s4q2n6etfde39,0,t,2026-01-20 12:10:51.263,2026-01-20 12:10:51.263
cmkmjyweg002w4q2nyt196ypq,accounting,Нягтлан бодох,,cmkmjyszp002s4q2n6etfde39,1,t,2026-01-20 12:10:53.302,2026-01-20 12:10:53.302
cmkmjyy1e002y4q2ny159k35m,tax-consulting,Татварын зөвлөгөө,,cmkmjyszp002s4q2n6etfde39,2,t,2026-01-20 12:10:55.826,2026-01-20 12:10:55.826
cmkmjyzsp00304q2nwgezhkco,notary,Нотариат,,cmkmjyszp002s4q2n6etfde39,3,t,2026-01-20 12:10:58.105,2026-01-20 12:10:58.105
cmkmjz1q500324q2ntlly8ucc,translation,"Орчуулга, баталгаажуулалт",,cmkmjyszp002s4q2n6etfde39,4,t,2026-01-20 12:11:00.605,2026-01-20 12:11:00.605
cmkmjz5hs00354q2n646uhlrm,property-valuation,Үнэлгээ,,cmkmjz3ml00334q2n7fs4rrv8,0,t,2026-01-20 12:11:05.488,2026-01-20 12:11:05.488
cmkmjz78p00374q2neygdlr6s,property-management,Орон сууц удирдлага,,cmkmjz3ml00334q2n7fs4rrv8,1,t,2026-01-20 12:11:07.753,2026-01-20 12:11:07.753
